0.0229	0.000
0.0232	0.000
0.0235	0.000
0.0237	0.000
0.0240	0.000
0.0243	0.000
0.0245	0.000
0.0248	0.000
0.0250	0.000
0.0253	0.007
0.0256	0.008
0.0258	0.010
0.0261	0.013
0.0263	0.011
0.0266	0.011
0.0269	0.011
0.0271	0.011
0.0274	0.013
0.0276	0.014
0.0279	0.015
0.0282	0.017
0.0284	0.017
0.0287	0.019
0.0290	0.024
0.0292	0.025
0.0295	0.029
0.0297	0.029
0.0300	0.034
0.0303	0.039
0.0305	0.042
0.0308	0.044
0.0310	0.050
0.0313	0.055
0.0316	0.062
0.0318	0.068
0.0321	0.077
0.0323	0.083
0.0326	0.094
0.0329	0.100
0.0331	0.112
0.0334	0.122
0.0337	0.129
0.0339	0.140
0.0342	0.151
0.0344	0.164
0.0347	0.179
0.0350	0.190
0.0352	0.205
0.0355	0.215
0.0357	0.231
0.0360	0.248
0.0363	0.272
0.0365	0.279
0.0368	0.301
0.0371	0.316
0.0373	0.335
0.0376	0.355
0.0378	0.372
0.0381	0.393
0.0384	0.410
0.0386	0.432
0.0389	0.447
0.0391	0.474
0.0394	0.490
0.0397	0.513
0.0399	0.526
0.0402	0.554
0.0404	0.572
0.0407	0.588
0.0410	0.612
0.0412	0.631
0.0415	0.655
0.0418	0.672
0.0420	0.697
0.0423	0.701
0.0425	0.720
0.0428	0.742
0.0431	0.765
0.0433	0.786
0.0436	0.791
0.0438	0.813
0.0441	0.829
0.0444	0.842
0.0446	0.848
0.0449	0.875
0.0451	0.889
0.0454	0.901
0.0457	0.904
0.0459	0.913
0.0462	0.934
0.0465	0.943
0.0467	0.941
0.0470	0.960
0.0472	0.960
0.0475	0.974
0.0478	0.972
0.0480	0.980
0.0483	0.991
0.0485	1.000
0.0488	0.986
0.0491	0.995
0.0493	0.991
0.0496	0.992
0.0498	0.986
0.0501	0.987
0.0504	0.984
0.0506	0.976
0.0509	0.965
0.0512	0.972
0.0514	0.948
0.0517	0.951
0.0519	0.931
0.0522	0.918
0.0525	0.910
0.0527	0.890
0.0530	0.874
0.0532	0.857
0.0535	0.847
0.0538	0.820
0.0540	0.804
0.0543	0.781
0.0546	0.756
0.0548	0.735
0.0551	0.712
0.0553	0.679
0.0556	0.659
0.0559	0.623
0.0561	0.591
0.0564	0.554
0.0566	0.523
0.0569	0.489
0.0572	0.446
0.0574	0.407
0.0577	0.361
0.0579	0.311
0.0582	0.262
0.0585	0.203
0.0587	0.137
0.0590	0.067
0.0593	0.018
0.0595	0.002
0.0598	0.000
0.0600	0.001
0.0603	0.000
0.0606	0.000
